grid_i,lat,lon,breadcrumb_count,n_routes
43032,41.766294543106554,-74.08571864155945,250635.0,2301
38849,41.99383027094989,-74.27520691095448,155125.0,678
39447,41.97226827954869,-74.24366471267852,18346.0,155
39448,41.97608283848261,-74.24898912262903,44854.0,310
39747,41.96991629862046,-74.23407805381615,57414.0,313
40047,41.96972016798278,-74.2206628990245,69497.0,465
40347,41.96850869023099,-74.20894581615528,127710.0,589
34958,42.11232015479342,-74.45225859168303,11182.0,96
34959,42.12865908047217,-74.45016857037997,12792.0,23
34960,42.13603797768232,-74.44662861123517,10476.0,23
35260,42.13720652879509,-74.4398327123464,5046.0,22
43364,42.19198023373373,-74.07412098327151,51702.0,199
43665,42.20156778921241,-74.05989784212431,6628.0,43
38526,41.68973675414278,-74.28414684238258,10476.0,41
47854,42.06194064397332,-73.87134536553855,60241.0,545
47855,42.0749586857935,-73.8710986321022,73811.0,682
48154,42.06134550421437,-73.85952387162774,35355.0,396
48155,42.07452189082034,-73.86053733453711,36167.0,405
48454,42.06137630296281,-73.84539086183746,84921.0,634
48455,42.07172679036552,-73.84888114874457,8563.0,290
31944,41.92582674112032,-74.5775114543037,26814.0,138
32245,41.94231307919286,-74.57466354407478,11299.0,119
48740,41.87227158753207,-73.83270422730196,210172.0,1285
49037,41.83467153424286,-73.82223338232525,65427.0,518
49038,41.84539505496594,-73.81835088704608,119956.0,626
49039,41.855376947594415,-73.81799332653658,7940.0,483
49040,41.87654351274018,-73.82055455463977,107455.0,1248
49339,41.86025920469082,-73.80930817267287,69177.0,476
49340,41.876182486984675,-73.80557196204776,234203.0,1307
41835,41.80602732629361,-74.1396239864906,88383.0,793
41836,41.8204751833093,-74.14028840875879,86084.0,1040
41837,41.83075981129098,-74.13747706367553,99575.0,876
42137,41.83063151888831,-74.12879839360362,160480.0,1094
29545,41.93804018052912,-74.6949415862433,1890.0,7
29845,41.94641472608696,-74.67246937826087,23.0,2
29846,41.948611932342025,-74.67501227732343,269.0,2
41223,41.647053628510896,-74.16848918187708,97324.0,694
41531,41.75260209097691,-74.15266989409808,166606.0,502
41532,41.76619106089914,-74.15505716746182,281720.0,582
44248,41.97831730695046,-74.0334600470727,155545.0,229
47544,41.92560409111983,-73.8879292578608,170855.0,1302
